指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
2016-11-18,,,,,,,,,,770.9494,,,,,,,,,,,,,620.44,,,,,,,,,,,,,3693929.65,,,,,,,,,,,,,7461336,,,,,,,,,,,,,,,,
2016-11-19,,,,,,,,,,767.2532,,,,,,,,,,,,,621.22,,,,,,,,,,,,,3688111.04,,,,,,,,,,,,,7419050,,,,,,,,,,,,,,,,
2016-11-20,,,,,413265.66,4376,94.43913619744059,,,766.0297,,,,,,,,,,,,,619.57,,,,,,,,95238.62,1105,86.1887963800905,,,3683550.64,,,,,,,,,,,,,7384299,,,,,,,,,,,,,,,,
2016-11-21,,158.87,,50,,,,,,780.7259,,,,,172.27,,48.14,,,,,,617.67,,,,,171.32,,28.02,,,,,,3687378.63,,,,,124.66,,53.55,,,,,,7365728,,,,,,,,,,,,,,,,
2016-11-22,,,,,,,,,,778.8655,,,,,,,,,,,,,615.16,,,,,,,,,,,,,3682714.03,,,,,,,,,,,,,7459127,,,,,,,,,,,,,,,,
2016-11-23,,,,,,,,,,780.7172,,,,,,,,,,,,,618.23,,,,,,,,,,,,,3666545.4,,,,,,,,,,,,,7574232,,,,,,,,,,,,,,,,
2016-11-24,,,,,,,,,,775.7425,,,,,,,,,,,,,616.53,,,,,,,,,,,,,3850099.4,,,,,,,,,,,,,7557805,,,,,,,,,,,,,,,,
2016-11-25,,,,,,,,,,778.5786,,,,,,,,,,,,,618.58,,,,,,,,,,,,,3873514.47,,,,,,,,,,,,,7741968,,,,,,,,,,,,,,,,
2016-11-26,,,,,,,,,,777.149,,,,,,,,,,,,,635.15,,,,,,,,,,,,,3868761.01,,,,,,,,,,,,,7677929,,,,,,,,,,,,,,,,
2016-11-27,,,,,400051.75,4050,98.77820987654322,,,767.7577,,,,,,,,,,,,,632.98,,,,,,,,87572.06,1026,85.35288499025341,,,3827575.73,,,,,,,,,,,,,7624801,,,,,,,,,,,,,,,,
2016-11-28,,163.56,,47.84,,,,,,770.4765,,,,,174.97,,49.11,,,,,,632.24,,,,,175.14,,34.21,,,,,,3832011.03,,,,,125.65,,54.63,,,,,,7580504,,,,,,,,,,,,,,,,
2016-11-29,,,,,,,,,,768.2472,,,,,,,,,,,,,631.59,,,,,,,,,,,,,3858779.63,,,,,,,,,,,,,7618750,,,,,,,,,,,,,,,,
2016-11-30,838,,59.72,,,,,190.2,1.55,771.5133,286528.51,33.659,27.4385,589.9,,103.91,,,,,241.2,1.62,633.75,600889.32,124.0035,73.3695,803.6,,62.88,,,,,181.5,1.53,3843770.44,332672.36,34.2001,0,618.3,,171.37,,119.56,,,177.2,2.11,7692238,120.85,116.6052,300.0254,,,,,3.25,,,,111.5,2.252258,0.144379,2.9,0.1
2016-12-01,,,,,,,,,,798.5044,,,,,,,,,,,,,633.12,,,,,,,,,,,,,3771384.87,,,,,,,,,,,,,7678677,,,,,,,,,,,,,,,,
2016-12-02,,,,,,,,,,793.351,,,,,,,,,,,,,628.56,,,,,,,,,,,,,3776227.65,,,,,,,,,,,,,7676863,,,,,,,,,,,,,,,,
2016-12-03,,,,,,,,,,,,,,,,,,,,,,,632.2,,,,,,,,,,,,,3797726.5,,,,,,,,,,,,,7620519,,,,,,,,,,,,,,,,
2016-12-04,,,,,410837.57,4282,95.94525221858945,,,782.1752,,,,,,,,,,,,,631.16,,,,,,,,76836.11,885,86.82046327683616,,,3796335.54,,,,,,,,,,,,,7585200,,,,,,,,,,,,,,,,
2016-12-05,,165.61,,48.55,,,,,,779.2539,,,,,175.6,,42.22,,,,,,630.27,,,,,173,,29.5,,,,,,3795466.2,,,,,126.79,,59.2,,,,,,7545088,,,,,,,,,,,,,,,,
2016-12-06,,,,,,,,,,774.2628,,,,,,,,,,,,,636.22,,,,,,,,,,,,,3787514.19,,,,,,,,,,,,,7518201,,,,,,,,,,,,,,,,
2016-12-07,,,,,,,,,,790.0231,,,,,,,,,,,,,638.2,,,,,,,,,,,,,3780504.59,,,,,,,,,,,,,7507578,,,,,,,,,,,,,,,,
2016-12-08,,,,,,,,,,789.0601,,,,,,,,,,,,,636.91,,,,,,,,,,,,,3762952.41,,,,,,,,,,,,,7491006,,,,,,,,,,,,,,,,
2016-12-09,,,,,,,,,,786.2613,,,,,,,,,,,,,637.8,,,,,,,,,,,,,3755455.93,,,,,,,,,,,,,7461605,,,,,,,,,,,,,,,,
2016-12-10,,,,,,,,,,782.0266,,,,,,,,,,,,,638.49,,,,,,,,,,,,,3750372.52,,,,,,,,,,,,,7403825,,,,,,,,,,,,,,,,
2016-12-11,,,,,346485.7,3656,94.77179978118161,,,775.5074,,,,,,,,,,,,,636.25,,,,,,,,84980.06,852,99.74185446009389,,,3708629.87,,,,,,,,,,,,,7366378,,,,,,,,,,,,,,,,
2016-12-12,,165.13,,53.14,,,,,,772.7969,,,,,175.4,,43.21,,,,,,629.58,,,,,162.28,,32.51,,,,,,3704502.23,,,,,127.88,,60.37,,,,,,7341341,,,,,,,,,,,,,,,,
2016-12-13,,,,,,,,,,765.0449,,,,,,,,,,,,,635.24,,,,,,,,,,,,,,,,,,,,,,,,,,7317578,,,,,,,,,,,,,,,,
2016-12-14,,,,,,,,,,760.263,,,,,,,,,,,,,645.35,,,,,,,,,,,,,3687546.82,,,,,,,,,,,,,7279277,,,,,,,,,,,,,,,,
2016-12-15,,,,,,,,,,764.5639,,,,,,,,,,,,,643.81,,,,,,,,,,,,,3679535.91,,,,,,,,,,,,,7262979,,,,,,,,,,,,,,,,
2016-12-16,,,,,,,,,,765.0017,,,,,,,,,,,,,,,,,,,,,,,,,,3656195.95,,,,,,,,,,,,,7419552,,,,,,,,,,,,,,,,
2016-12-17,,,,,,,,,,761.5983,,,,,,,,,,,,,645.28,,,,,,,,,,,,,3650996.72,,,,,,,,,,,,,7372035,,,,,,,,,,,,,,,,
2016-12-18,,,,,407335.19,4257,95.68597369039229,,,758.4505,,,,,,,,,,,,,644.44,,,,,,,,61298.15,694,88.32586455331412,,,3647301.1,,,,,,,,,,,,,7340769,,,,,,,,,,,,,,,,
2016-12-19,,165.94,,53.57,,,,,,753.3621,,,,,175.51,,40.43,,,,,,645.96,,,,,168.31,,32.63,,,,,,3675375.91,,,,,129.42,,57.34,,,,,,7325541,,,,,,,,,,,,,,,,
2016-12-20,,,,,,,,,,750.8251,,,,,,,,,,,,,648.9,,,,,,,,,,,,,3709718.58,,,,,,,,,,,,,7319725,,,,,,,,,,,,,,,,
2016-12-21,,,,,,,,,,747.7162,,,,,,,,,,,,,653.24,,,,,,,,,,,,,3698814.74,,,,,,,,,,,,,7314028,,,,,,,,,,,,,,,,
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,653.28,,,,,,,,,,,,,3649723.35,,,,,,,,,,,,,7419622,,,,,,,,,,,,,,,,
2016-12-23,,,,,,,,,,731.1243,,,,,,,,,,,,,652.63,,,,,,,,,,,,,3681715.11,,,,,,,,,,,,,7472959,,,,,,,,,,,,,,,,
2016-12-24,,,,,,,,,,725.8108,,,,,,,,,,,,,651.04,,,,,,,,,,,,,3679077.79,,,,,,,,,,,,,7423470,,,,,,,,,,,,,,,,
2016-12-25,,,,,295996.94,3432,86.24619463869463,,,723.312,,,,,,,,,,,,,649.88,,,,,,,,79425.16,869,91.39834292289989,,,3675241.57,,,,,,,,,,,,,7390280,,,,,,,,,,,,,,,,
2016-12-26,,167.27,,52.51,,,,,,726.3898,,,,,176.39,,43.62,,,,,,648.01,,,,,166.14,,29.6,,,,,,3666077.93,,,,,130.04,,59.09,,,,,,7445662,,,,,,,,,,,,,,,,
2016-12-27,,,,,,,,,,731.6012,,,,,,,,,,,,,650.51,,,,,,,,,,,,,3633611.81,,,,,,,,,,,,,7418894,,,,,,,,,,,,,,,,
2016-12-28,,,,,,,,,,727.8474,,,,,,,,,,,,,652.65,,,,,,,,,,,,,3626819.57,,,,,,,,,,,,,7430419,,,,,,,,,,,,,,,,
2016-12-29,,,,,,,,,,721.9161,,,,,,,,,,,,,649.24,,,,,,,,,,,,,3626169.74,,,,,,,,,,,,,7401958,,,,,,,,,,,,,,,,
2016-12-30,,,,,,,,,,721.0307,,,,,,,,,,,,,655.97,,,,,,,,,,,,,3810780.5,,,,,,,,,,,,,7388098,,,,,,,,,,,,,,,,
2016-12-31,851,,64.13,,,,,189.9,1.52,716.6847,269540.76,43.4393,77.3584,598.5,,89.84,,,,,240.5,1.59,661.09,2201126.81,151.1609,114.6649,792.8,,59.32,,,,,176.2,1.51,3806512,339723.38,0,22.4211,633.4,,158.02,,107.41,,,175.5,2.04,7335333,87.81,0,0,8.9,9.1,8.4,8.4,3.25,4.52,109.6,108.3,111.5,2.076545,0.224006,2.9,0
2017-01-01,,,,,466302.92,5310,87.81599246704332,,,681.5838,,,,,,,,,,,,,662.66,,,,,,,,77438.4,897,86.33043478260869,,,3805147.07,,,,,,,,,,,,,7316412,,,,,,,,,,,,,,,,
2017-01-02,,166.77,,52.51,,,,,,676.5391,,,,,177.47,,44.98,,,,,,661.89,,,,,165.78,,31.41,,,,,,3790292.21,,,,,129.66,,54.62,,,,,,7304005,,,,,,,,,,,,,,,,
2017-01-03,,,,,,,,,,676.9203,,,,,,,,,,,,,661.77,,,,,,,,,,,,,3774654.81,,,,,,,,,,,,,7304730,,,,,,,,,,,,,,,,
2017-01-04,,,,,,,,,,681.9571,,,,,,,,,,,,,659.67,,,,,,,,,,,,,,,,,,,,,,,,,,7196758,,,,,,,,,,,,,,,,
2017-01-05,,,,,,,,,,681.1396,,,,,,,,,,,,,659.04,,,,,,,,,,,,,3751928.26,,,,,,,,,,,,,7164041,,,,,,,,,,,,,,,,
2017-01-06,,,,,,,,,,676.2377,,,,,,,,,,,,,659.26,,,,,,,,,,,,,3729006.43,,,,,,,,,,,,,7226852,,,,,,,,,,,,,,,,
2017-01-07,,,,,,,,,,669.9109,,,,,,,,,,,,,657.83,,,,,,,,,,,,,3711084.09,,,,,,,,,,,,,7193336,,,,,,,,,,,,,,,,
2017-01-08,,,,,265723.14,2903,91.53397864278332,,,666.9637,,,,,,,,,,,,,656.65,,,,,,,,45474.24,513,88.64374269005847,,,3708977.05,,,,,,,,,,,,,7164233,,,,,,,,,,,,,,,,
2017-01-09,,168.05,,52.31,,,,,,668.1064,,,,,176.77,,40.95,,,,,,654.97,,,,,169.76,,35.16,,,,,,3767490.92,,,,,130.37,,62.1,,,,,,7182761,,,,,,,,,,,,,,,,
2017-01-10,,,,,,,,,,665.1943,,,,,,,,,,,,,655.97,,,,,,,,,,,,,3759580.12,,,,,,,,,,,,,7141939,,,,,,,,,,,,,,,,
2017-01-11,,,,,,,,,,655.7968,,,,,,,,,,,,,654.83,,,,,,,,,,,,,3765448.04,,,,,,,,,,,,,7135316,,,,,,,,,,,,,,,,
2017-01-12,,,,,,,,,,666.6979,,,,,,,,,,,,,654.35,,,,,,,,,,,,,3754262.7,,,,,,,,,,,,,7190824,,,,,,,,,,,,,,,,
2017-01-13,,,,,,,,,,669.2743,,,,,,,,,,,,,652.94,,,,,,,,,,,,,3747999.08,,,,,,,,,,,,,7177004,,,,,,,,,,,,,,,,
2017-01-14,,,,,,,,,,667.6282,,,,,,,,,,,,,663.33,,,,,,,,,,,,,3742949.67,,,,,,,,,,,,,7132998,,,,,,,,,,,,,,,,
2017-01-15,,,,,294170.98,3137,93.77461906279885,,,665.9696,,,,,,,,,,,,,661.58,,,,,,,,92558.03,965,95.91505699481866,,,3742382.97,,,,,,,,,,,,,7098347,,,,,,,,,,,,,,,,
2017-01-16,,168.1,,52.38,,,,,,663.0193,,,,,175.65,,46.19,,,,,,660.45,,,,,171.69,,31.36,,,,,,3740442.53,,,,,131.21,,51.44,,,,,,7090205,,,,,,,,,,,,,,,,
2017-01-17,,,,,,,,,,683.4486,,,,,,,,,,,,,665.82,,,,,,,,,,,,,3796137.71,,,,,,,,,,,,,7086661,,,,,,,,,,,,,,,,
2017-01-18,,,,,,,,,,681.2,,,,,,,,,,,,,664.56,,,,,,,,,,,,,3787444.48,,,,,,,,,,,,,7056757,,,,,,,,,,,,,,,,
2017-01-19,,,,,,,,,,683.0173,,,,,,,,,,,,,665.95,,,,,,,,,,,,,3783295.24,,,,,,,,,,,,,7054629,,,,,,,,,,,,,,,,
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,663.15,,,,,,,,,,,,,3723389.88,,,,,,,,,,,,,7078255,,,,,,,,,,,,,,,,
2017-01-21,,,,,,,,,,,,,,,,,,,,,,,660.64,,,,,,,,,,,,,3708426.33,,,,,,,,,,,,,7048396,,,,,,,,,,,,,,,,
2017-01-22,,,,,281960.07,3080,91.54547727272727,,,,,,,,,,,,,,,,659.61,,,,,,,,76247.21,911,83.69616904500549,,,3704409.81,,,,,,,,,,,,,7048790,,,,,,,,,,,,,,,,
2017-01-23,,169.29,,65.29,,,,,,682.1759,,,,,175.17,,47.37,,,,,,658.19,,,,,167.27,,33.69,,,,,,3704409.81,,,,,131.01,,68.39,,,,,,7033632,,,,,,,,,,,,,,,,
2017-01-24,,,,,,,,,,680.9809,,,,,,,,,,,,,661.65,,,,,,,,,,,,,3703825.92,,,,,,,,,,,,,7016727,,,,,,,,,,,,,,,,
2017-01-25,,,,,,,,,,680.9834,,,,,,,,,,,,,664.06,,,,,,,,,,,,,3703825.92,,,,,,,,,,,,,7013192,,,,,,,,,,,,,,,,
2017-01-26,,,,,,,,,,680.7627,,,,,,,,,,,,,668.15,,,,,,,,,,,,,3703825.92,,,,,,,,,,,,,7003851.9759,,,,,,,,,,,,,,,,
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,668.07,,,,,,,,,,,,,3703825.92,,,,,,,,,,,,,7002580,,,,,,,,,,,,,,,,
2017-01-28,,,,,,,,,,,,,,,,,,,,,,,667.97,,,,,,,,,,,,,3703213.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-29,,,,,149385.06,1603,93.19092950717405,,,,,,,,,,,,,,,,668.92,,,,,,,,20407.28,231,88.34320346320347,,,3703213.62,,,,,,,,,,,,,7002290,,,,,,,,,,,,,,,,
2017-01-30,,173.82,,60,,,,,,,,,,,178.34,,46.88,,,,,,669,,,,,168.17,,59.3,,,,,,3703213.62,,,,,130.95,,29.73,,,,,,7002088.3959,,,,,,,,,,,,,,,,
2017-01-31,865,,65.35,,,,,189.9,1.5,,285320.96,23.4871,43.4393,602,,65.79,,,,,236.7,1.55,668.99,448438.66,45.2016,50.8045,795.6,,36.99,,,,,179,1.53,3703213.62,124934.11,0,0,651.2,,123.92,,137.34,,,173.9,1.97,7001449,50.89,0,42.0195,,,,,3.25,,109.2,110.4,112.4,2.549055,0.9984,3,0
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,669.25,,,,,,,,,,,,,3696770.1,,,,,,,,,,,,,7001159,,,,,,,,,,,,,,,,
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,669.59,,,,,,,,,,,,,,,,,,,,,,,,,,6999855,,,,,,,,,,,,,,,,
2017-02-03,,,,,,,,,,669.707,,,,,,,,,,,,,669.78,,,,,,,,,,,,,,,,,,,,,,,,,,6997159,,,,,,,,,,,,,,,,
2017-02-04,,,,,,,,,,669.4829,,,,,,,,,,,,,669.53,,,,,,,,,,,,,3688553.57,,,,,,,,,,,,,6988787,,,,,,,,,,,,,,,,
2017-02-05,,,,,62993.02,679,92.77322533136966,,,668.5131,,,,,,,,,,,,,668.83,,,,,,,,3509.1,42,83.55,,,3688471.84,,,,,,,,,,,,,6974706,,,,,,,,,,,,,,,,
2017-02-06,,173.77,,64,,,,,,676.3763,,,,,179.77,,52.21,,,,,,667.65,,,,,172.76,,62.26,,,,,,3688094.07,,,,,131.5,,67.65,,,,,,6958328,,,,,,,,,,,,,,,,
2017-02-07,,,,,,,,,,674.534,,,,,,,,,,,,,665.93,,,,,,,,,,,,,3682106.5,,,,,,,,,,,,,6940685,,,,,,,,,,,,,,,,
2017-02-08,,,,,,,,,,670.612,,,,,,,,,,,,,664.24,,,,,,,,,,,,,3674917.06,,,,,,,,,,,,,6918835,,,,,,,,,,,,,,,,
2017-02-09,,,,,,,,,,669.5069,,,,,,,,,,,,,662.73,,,,,,,,,,,,,3669490.85,,,,,,,,,,,,,6887526,,,,,,,,,,,,,,,,
2017-02-10,,,,,,,,,,668.8717,,,,,,,,,,,,,661.52,,,,,,,,,,,,,3664729.55,,,,,,,,,,,,,6823450,,,,,,,,,,,,,,,,
2017-02-11,,,,,,,,,,663.4236,,,,,,,,,,,,,664.64,,,,,,,,,,,,,3662812.12,,,,,,,,,,,,,6800551,,,,,,,,,,,,,,,,
2017-02-12,,,,,339339.14,3842,88.32356585111921,,,,,,,,,,,,,,,,663.01,,,,,,,,33302.15,398,83.67374371859296,,,3617344.66,,,,,,,,,,,,,6783079,,,,,,,,,,,,,,,,
2017-02-13,,174.24,,67.52,,,,,,662.5075,,,,,179.98,,55.7,,,,,,662.01,,,,,181.18,,34.18,,,,,,3610814.71,,,,,133.89,,68.84,,,,,,6769071,,,,,,,,,,,,,,,,
2017-02-14,,,,,,,,,,659.6439,,,,,,,,,,,,,661.91,,,,,,,,,,,,,3617317.53,,,,,,,,,,,,,6743021,,,,,,,,,,,,,,,,
2017-02-15,,,,,,,,,,662.0712,,,,,,,,,,,,,662.53,,,,,,,,,,,,,3610584.92,,,,,,,,,,,,,6730672,,,,,,,,,,,,,,,,
2017-02-16,,,,,,,,,,661.3808,,,,,,,,,,,,,662.4,,,,,,,,,,,,,3584267,,,,,,,,,,,,,6740983,,,,,,,,,,,,,,,,
2017-02-17,,,,,,,,,,659.5299,,,,,,,,,,,,,661.51,,,,,,,,,,,,,3603524,,,,,,,,,,,,,6730489.6827,,,,,,,,,,,,,,,,
2017-02-18,,,,,,,,,,658.4408,,,,,,,,,,,,,656.37,,,,,,,,,,,,,3597670.47,,,,,,,,,,,,,6705735.1841,,,,,,,,,,,,,,,,
2017-02-19,,,,,257038.67,2813,91.37528261642375,,,656.034,,,,,,,,,,,,,654.74,,,,,,,,59773.95,704,84.90617897727273,,,3594682.96,,,,,,,,,,,,,6680201.7306,,,,,,,,,,,,,,,,
2017-02-20,,175.14,,64.17,,,,,,658.9064,,,,,179.82,,47.57,,,,,,653.3,,,,,183.69,,36.29,,,,,,3632973.15,,,,,136.31,,68.44,,,,,,6663944.7276,,,,,,,,,,,,,,,,
2017-02-21,,,,,,,,,,658.3196,,,,,,,,,,,,,652.29,,,,,,,,,,,,,3629081.86,,,,,,,,,,,,,6638151.132,,,,,,,,,,,,,,,,
2017-02-22,,,,,,,,,,656.449,,,,,,,,,,,,,653.04,,,,,,,,,,,,,3626704.6,,,,,,,,,,,,,6611993,,,,,,,,,,,,,,,,
2017-02-23,,,,,,,,,,656.5121,,,,,,,,,,,,,651.53,,,,,,,,,,,,,3591600.3,,,,,,,,,,,,,6587894,,,,,,,,,,,,,,,,
2017-02-24,,,,,,,,,,653.8181,,,,,,,,,,,,,659.15,,,,,,,,,,,,,3586816.48,,,,,,,,,,,,,6601038,,,,,,,,,,,,,,,,
2017-02-25,,,,,,,,,,649.2122,,,,,,,,,,,,,655.05,,,,,,,,,,,,,3586112.33,,,,,,,,,,,,,6554596,,,,,,,,,,,,,,,,
2017-02-26,,,,,285357.05,3080,92.64839285714285,,,647.1322,,,,,,,,,,,,,653.41,,,,,,,,65257.48,774,84.31198966408269,,,3585573.8,,,,,,,,,,,,,6505975,,,,,,,,,,,,,,,,
2017-02-27,,182.1,,73.72,,,,,,650.822,,,,,180.96,,43.6,,,,,,651.19,,,,,177.61,,37.17,,,,,,3582772.11,,,,,137.7,,66.28,,,,,,6526142,,,,,,,,,,,,,,,,
2017-02-28,884,,83.42,,,,,192.2,1.49,645.534,106193.78,23.721,23.4871,602.1,,95.77,,,,,242,1.59,647.97,418760,0,97.7317,801.5,,59.94,,,,,181,1.53,3569394.37,,0,0,671.5,,177.17,,72.61,,,174.9,1.92,6595045,7.46,125.0046,0,,,,,3.25,,112.9,113.4,116.19999999999999,0.8,-0.1679,3.3,0.6
2017-03-01,,,,,,,,,,643.2917,,,,,,,,,,,,,647.16,,,,,,,,,,,,,3557210.73,,,,,,,,,,,,,6602368,,,,,,,,,,,,,,,,
2017-03-02,,,,,,,,,,647.7339,,,,,,,,,,,,,649.8,,,,,,,,,,,,,3554268.77,,,,,,,,,,,,,6612794,,,,,,,,,,,,,,,,
2017-03-03,,,,,,,,,,649.3751,,,,,,,,,,,,,653.46,,,,,,,,,,,,,3530868.72,,,,,,,,,,,,,6605252,,,,,,,,,,,,,,,,
2017-03-04,,,,,,,,,,648.4779,,,,,,,,,,,,,654.24,,,,,,,,,,,,,3528082.86,,,,,,,,,,,,,6555529,,,,,,,,,,,,,,,,
2017-03-05,,,,,350596.64,3896,89.9888706365503,,,645.0184,,,,,,,,,,,,,653.82,,,,,,,,69587.06,794,87.64113350125945,,,3525660.66,,,,,,,,,,,,,6526555,,,,,,,,,,,,,,,,
2017-03-06,,182.53,,77.42,,,,,,643.2828,,,,,180.83,,39.51,,,,,,655.14,,,,,175.62,,41.32,,,,,,3525914.92,,,,,139.02,,63.46,,,,,,6475205,,,,,,,,,,,,,,,,
2017-03-07,,,,,,,,,,642.4468,,,,,,,,,,,,,655.36,,,,,,,,,,,,,3521451.01,,,,,,,,,,,,,6414138,,,,,,,,,,,,,,,,
2017-03-08,,,,,,,,,,636.2388,,,,,,,,,,,,,657.96,,,,,,,,,,,,,3519364.71,,,,,,,,,,,,,6394114,,,,,,,,,,,,,,,,
2017-03-09,,,,,,,,,,632.8565,,,,,,,,,,,,,653.69,,,,,,,,,,,,,3514579.03,,,,,,,,,,,,,6374941,,,,,,,,,,,,,,,,
2017-03-10,,,,,,,,,,636.1626,,,,,,,,,,,,,650.87,,,,,,,,,,,,,3537648.09,,,,,,,,,,,,,6335387,,,,,,,,,,,,,,,,
2017-03-11,,,,,,,,,,634.774,,,,,,,,,,,,,647.71,,,,,,,,,,,,,3534418.21,,,,,,,,,,,,,6279856,,,,,,,,,,,,,,,,
2017-03-12,,,,,366929.6,4255,86.23492361927144,,,632.5095,,,,,,,,,,,,,645.51,,,,,,,,76850.71,881,87.23122587968219,,,3532195.06,,,,,,,,,,,,,6242220,,,,,,,,,,,,,,,,
2017-03-13,,183.48,,77.64,,,,,,632.4647,,,,,180.78,,43.55,,,,,,645.06,,,,,173.58,,38.65,,,,,,3588336.77,,,,,141.56,,73.88,,,,,,6190949,,,,,,,,,,,,,,,,
2017-03-14,,,,,,,,,,630.7132,,,,,,,,,,,,,650.78,,,,,,,,,,,,,3585231.31,,,,,,,,,,,,,6213605,,,,,,,,,,,,,,,,
2017-03-15,,,,,,,,,,629.4475,,,,,,,,,,,,,650.61,,,,,,,,,,,,,3580603.19,,,,,,,,,,,,,6109674,,,,,,,,,,,,,,,,
2017-03-16,,,,,,,,,,643.773,,,,,,,,,,,,,651.73,,,,,,,,,,,,,3576285,,,,,,,,,,,,,6086108,,,,,,,,,,,,,,,,
2017-03-17,,,,,,,,,,644.9228,,,,,,,,,,,,,650.27,,,,,,,,,,,,,3569442.01,,,,,,,,,,,,,6138472,,,,,,,,,,,,,,,,
2017-03-18,,,,,,,,,,642.9697,,,,,,,,,,,,,647.83,,,,,,,,,,,,,3565974.76,,,,,,,,,,,,,6135569,,,,,,,,,,,,,,,,
2017-03-19,,,,,570941.53,6676,85.52149940083882,,,639.9588,,,,,,,,,,,,,645.51,,,,,,,,89510.18,1030,86.90308737864078,,,3564292.26,,,,,,,,,,,,,6085887,,,,,,,,,,,,,,,,
2017-03-20,,184.97,,87.89,,,,,,651.3185,,,,,180.88,,45.01,,,,,,643.33,,,,,172.77,,42.52,,,,,,3561076.73,,,,,142.95,,81.26,,,,,,6053305,,,,,,,,,,,,,,,,
2017-03-21,,,,,,,,,,644.531,,,,,,,,,,,,,641,,,,,,,,,,,,,3571204.5,,,,,,,,,,,,,6034612,,,,,,,,,,,,,,,,
2017-03-22,,,,,,,,,,646.6917,,,,,,,,,,,,,639,,,,,,,,,,,,,3569938.33,,,,,,,,,,,,,6015443,,,,,,,,,,,,,,,,
2017-03-23,,,,,,,,,,643.1016,,,,,,,,,,,,,643.16,,,,,,,,,,,,,3564396.53,,,,,,,,,,,,,6050308,,,,,,,,,,,,,,,,
2017-03-24,,,,,,,,,,647.4192,,,,,,,,,,,,,641,,,,,,,,,,,,,3570186.28,,,,,,,,,,,,,6152365,,,,,,,,,,,,,,,,
2017-03-25,,,,,,,,,,646.1646,,,,,,,,,,,,,638.18,,,,,,,,,,,,,3631561.34,,,,,,,,,,,,,6080552,,,,,,,,,,,,,,,,
2017-03-26,,,,,448784.98,5148,87.17656954156955,,,641.0153,,,,,,,,,,,,,635.88,,,,,,,,96903.14,1180,82.12130508474576,,,3630310.24,,,,,,,,,,,,,6015386,,,,,,,,,,,,,,,,
2017-03-27,,190.43,,74.32,,,,,,652.1428,,,,,181.9,,44.44,,,,,,632.26,,,,,173.83,,41.54,,,,,,3626035.81,,,,,145.06,,69.08,,,,,,6074873,,,,,,,,,,,,,,,,
2017-03-28,,,,,,,,,,652.2923,,,,,,,,,,,,,633.21,,,,,,,,,,,,,3702107.69,,,,,,,,,,,,,6120774,,,,,,,,,,,,,,,,
